SampleID	Chromosome	Start_position	End_position	total_cn	A_cn	B_cn	ploidy
sample	chr1	900001	9500000	5	5	0	5
sample	chr1	9600001	248900000	6	6	0	5
sample	chr11	200001	18400000	7	7	0	5
sample	chr12	100001	41900000	6	6	0	5
sample	chr12	41900001	43100000	5	5	0	5
sample	chr12	43100001	133275309	6	6	0	5
sample	chr14	20000001	106900000	5	5	0	5
sample	chr15	22800001	101800000	5	5	0	5
sample	chr16	5400001	7100000	6	6	0	5
sample	chr16	7100001	90100000	7	7	0	5
sample	chr17	200001	22700000	5	5	0	5
sample	chr17	27100001	35600000	7	7	0	5
sample	chr17	35700001	83200000	6	6	0	5
sample	chr18	200001	39200000	5	5	0	5
sample	chr18	39200001	39700000	4	4	0	5
sample	chr18	39700001	50200000	5	5	0	5
sample	chr18	50200001	63400000	4	4	0	5
sample	chr18	63400001	75500000	5	5	0	5
sample	chr18	75500001	79100000	4	4	0	5
sample	chr18	79100001	80300000	5	5	0	5
sample	chr19	300001	58600000	6	6	0	5
sample	chr2	1	62900000	7	7	0	5
sample	chr2	62900001	63300000	5	5	0	5
sample	chr2	63300001	242100000	7	7	0	5
sample	chr20	1	14400000	9	9	0	5
sample	chr20	14400001	16200000	8	8	0	5
sample	chr20	16200001	64300000	9	9	0	5
sample	chr21	10200001	46700000	6	6	0	5
sample	chr22	16900001	50700000	6	6	0	5
sample	chr3	100001	7900000	7	7	0	5
sample	chr3	7900001	11400000	6	6	0	5
sample	chr3	11400001	198100000	7	7	0	5
sample	chr4	100001	189500000	5	5	0	5
sample	chr5	100001	164800000	6	6	0	5
sample	chr5	164800001	170800000	5	5	0	5
sample	chr5	170800001	181300000	6	6	0	5
sample	chr6	400001	45700000	6	6	0	5
sample	chr6	45700001	62800000	7	7	0	5
sample	chr6	62800001	64500000	9	9	0	5
sample	chr6	64500001	66200000	7	7	0	5
sample	chr6	162000001	162500000	5	5	0	5
sample	chr6	162500001	170600000	6	6	0	5
sample	chr7	1	32200000	11	11	0	5
sample	chr7	32200001	65400000	10	10	0	5
sample	chr7	65900001	159200000	7	7	0	5
sample	chr8	500001	33600000	4	4	0	5
sample	chr8	33600001	36400000	7	7	0	5
sample	chr8	36400001	38200000	4	4	0	5
sample	chr8	38200001	60500000	8	8	0	5
sample	chr8	60500001	61500000	10	10	0	5
sample	chr9	200001	138100000	6	6	0	5
